zacharykeeting.com Zachary Keeting, artist
blog.andrewjanjigian.com Andrew Janjigian, photographer
keywords.oxus.net Kerim Friedman, anthropologist
discombobulated.co.nz Jessica Nickelsen, writer
blog.aurynn.com Aurynn Shaw, software engineer
iiiiiiiii.in Ishtaarth Dalmia, writer
www.failuretolerated.com Sean McCoy, game designer
vaughntan.org Vaughn Tan, writer, 2019
eli.li Eli Mellen, software engineer
paul.af Paul Esch-Laurent, software engineer
diary.craigwhite.nyc Craig White, artist
www.chrbutler.com Christopher Butler, designer
benlog.net Ben Greenberg, journalist
www.letterspace.org Robert van Vliet, writer
inhab.it Wil Turner, writer
www.skellis.net Simon Ellis, artist
ianamurray.work Iana Murray, journalist
www.dustinsenos.com Dustin Senos, designer
theocasciani.page Théo Casciani, writer
www.emilycass.org Emily Cass, architect
jessytuddenham.com Jessy Tuddenham, dancer
bnjmnmddn.com Benjamin Madden, academic
www.jsoliday.com J. Soliday, musician
tellyou.today Neale Stokes, librarian
poetry.bencallahan.com Ben Callahan, poet
spittingdog.net Dave Haysom, translator
reillybrennan.com Reilly Brennan, venture capitalist
sidenote.ridwansanusi.com Ridwan Sanusi, designer
max.engineer Max Chernyak, software engineer
oliviaastawood.com Olivia Wood, writer
www.nitinpai.in Nitin Pai, think-tank director
jeankapsa.com Jean Kapsa, pianist
www.declad.com Lewis Martin, architect
notesof.com Thibault Michel, designer
meredithgran.com Meredith Gran, cartoonist
ellanew.com Ellane W, designer
alongtheray.com Raymond Hines, writer
matthiaszeeb.net Matthias Zeeb, economist
simonuvarov.com Simon Uvarov, software engineer
erinkissane.com Erin Kissane, writer
nonaneva.com ノナネヷ, artist
ilovewasting.ink Peter Orosz, writer
words.studiopallister.com James Pallister, writer
www.gillianrosselli.com Gillian Rosselli, artist
www.caitlinmrivers.com Caitlin Rivers, epidemiologist
www.audunberdal.no Audun Berdal, designer
www.amirsharif.com Amir Sharif, software engineer
www.spakhm.com Slava Akhmechet, software engineer
www.hayalpozanti.com Hayal Pozanti, artist
www.rossrichardson.com Ross Richardson, cinematographer
alineleynen.com Aline Leynen, jeweller
robinschoenbaechler.com Robin Schoenbaechler, designer
www.stephgreen.co.uk Steph Green, writer
davidelitompkins.com David Eli Tompkins, painter
tormodotterjohansen.se Tormod Johansen, academic
merissalombardo.com Merissa Lombardo, production designer
alyssabrocato.com Alyssa Brocato, cinematographer
shaileshchitnis.com Shailesh Chitnis, journalist
elenarazlogova.net Elena Razlogova, historian
kristinemorgan.com Kristine Morgan, writer
maggiewangphotography.com Maggie Wang, academic
chuckpearson.blog Chuck Pearson, designer
garywebbracing.com Gary Webb, racing driver
vichhika.com Vichhika Tep, designer
